0;2;20240603070122;430106000000020063;尖山路与旺龙路交叉口;1;2
0;2;20240603070425;430106000000020081;望青路与青山路交叉口;0;4
0;2;20240603070520;430106000000020086;岳麓大道与麓谷大道交叉口;1;4
1;52;20240603070412;430106000000010508;青山路与尖山路交叉口;0;2
1;52;20240603070544;430106000000020062;尖山路与旺龙路交叉口;3;3
1;52;20240603070727;430106000000020081;望青路与青山路交叉口;1;4
1;52;20240603071751;430106000000019056;岳麓大道与麓谷大道交叉口;2;1
2;52;20240603071212;430106000000010508;青山路与尖山路交叉口;3;2
2;52;20240603071302;430106000000019051;望青路与青山路交叉口;4;2
2;52;20240603072017;430106000000020060;尖山路与旺龙路交叉口;2;1
3;52;20240603071632;430106000000012457;青山路与尖山路交叉口;3;1
3;52;20240603071741;430106000000020062;尖山路与旺龙路交叉口;2;3
3;52;20240603071942;430106000000020081;望青路与青山路交叉口;1;4
4;2;20240603070645;430106000000010508;青山路与尖山路交叉口;2;2
4;2;20240603071034;430106000000019051;望青路与青山路交叉口;0;2
4;2;20240603071224;430106000000020086;岳麓大道与麓谷大道交叉口;1;4
5;51;20240603070221;430106000000010504;青山路与尖山路交叉口;0;4
5;51;20240603070824;430106000000019051;望青路与青山路交叉口;4;2
5;51;20240603070949;430106000000020086;岳麓大道与麓谷大道交叉口;2;4
6;2;20240603070355;430106000000020063;尖山路与旺龙路交叉口;3;2
6;2;20240603070626;430106000000020081;望青路与青山路交叉口;2;4
6;2;20240603070727;430106000000020086;岳麓大道与麓谷大道交叉口;1;4
7;2;20240603070938;430106000000010508;青山路与尖山路交叉口;1;2
7;2;20240603071039;430106000000020062;尖山路与旺龙路交叉口;2;3
7;2;20240603071356;430106000000020081;望青路与青山路交叉口;2;4
7;2;20240603071521;430106000000020086;岳麓大道与麓谷大道交叉口;1;4
8;2;20240603070454;430106000000020063;尖山路与旺龙路交叉口;3;2
8;2;20240603070643;430106000000020081;望青路与青山路交叉口;2;4
8;2;20240603070936;430106000000020086;岳麓大道与麓谷大道交叉口;1;4
9;2;20240603070614;430106000000020062;尖山路与旺龙路交叉口;2;3
9;2;20240603070738;430106000000020081;望青路与青山路交叉口;2;4
9;2;20240603070956;430106000000020086;岳麓大道与麓谷大道交叉口;1;4
10;2;20240603070902;430106000000020063;尖山路与旺龙路交叉口;3;2
10;2;20240603071354;430106000000020081;望青路与青山路交叉口;2;4
10;2;20240603071511;430106000000020086;岳麓大道与麓谷大道交叉口;0;4
11;2;20240603070326;430106000000020168;岳麓大道与麓谷大道交叉口;1;3
11;2;20240603071048;430106000000010507;青山路与尖山路交叉口;1;3
11;2;20240603071152;430106000000020067;青山路与旺龙路西交叉口;3;1
12;2;20240603070214;430106000000012458;青山路与尖山路交叉口;1;3
12;2;20240603070451;430106000000019051;望青路与青山路交叉口;4;2
12;2;20240603070946;430106000000020086;岳麓大道与麓谷大道交叉口;1;4
13;52;20240603070001;430106000000020168;岳麓大道与麓谷大道交叉口;0;3
13;52;20240603070241;430106000000010507;青山路与尖山路交叉口;3;3
13;52;20240603070435;430106000000020068;青山路与旺龙路西交叉口;2;1
14;52;20240603070444;430106000000020081;望青路与青山路交叉口;2;4
14;52;20240603070720;430106000000020086;岳麓大道与麓谷大道交叉口;1;4
14;52;20240603071054;430106000000020060;尖山路与旺龙路交叉口;2;1
15;2;20240603070233;430106000000010507;青山路与尖山路交叉口;2;3
15;2;20240603070520;430106000000020062;尖山路与旺龙路交叉口;3;3
15;2;20240603071454;430106000000020085;岳麓大道与麓谷大道交叉口;1;2
16;2;20240603070051;430106000000020062;尖山路与旺龙路交叉口;2;3
16;2;20240603070208;430106000000020081;望青路与青山路交叉口;2;4
16;2;20240603070307;430106000000020086;岳麓大道与麓谷大道交叉口;1;4
17;52;20240603070600;430106000000012458;青山路与尖山路交叉口;1;3
17;52;20240603070735;430106000000019051;望青路与青山路交叉口;4;2
17;52;20240603071101;430106000000019056;岳麓大道与麓谷大道交叉口;1;1
18;2;20240603070128;430106000000020067;青山路与旺龙路西交叉口;3;1
18;2;20240603071733;430106000000010508;青山路与尖山路交叉口;2;2
18;2;20240603072004;430106000000019051;望青路与青山路交叉口;0;2
